Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
3000 W PICO BL;34,0472;-118,3063;1745;20;Olympic;2073;2;0;F;B;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
7000 HATILLO AV;34,1975;-118,5655;700;21;Topanga;2149;1;59;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
EWING ST;34,0912;-118,2595;130;11;Northeast;1172;1;54;M;H;STREET;None;None;AA;Adult Arrest;Property Crimes
500 S LOS ANGELES ST;34,046;-118,2493;1346;1;Central;154;2;20;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
4300 LINCOLN BL;33,9847;-118,4427;1130;14;Pacific;1454;2;27;F;C;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
16500 VICTORY BL;34,1939;-118,4967;2210;10;West Valley;1028;2;57;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
VILLAGE DR;33,9772;-118,4158;2210;14;Pacific;1464;1;49;M;B;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
DE SOTO AV;34,2246;-118,5885;1100;17;Devonshire;1791;2;41;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
300 N LAS PALMAS AV;34,0762;-118,336;1645;7;Wilshire;717;1;54;M;W;CONSTRUCTION SITE;None;None;IC;Invest Cont;Property Crimes
PALMETTO;34,0403;-118,2308;2200;1;Central;159;1;30;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
900 S BROADWAY;34,0419;-118,2564;315;1;Central;185;2;28;M;B;OTHER PREMISE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
800 W 19TH ST;33,727;-118,2946;1600;5;Harbor;585;2;26;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
4200 N SEPULVEDA BL;34,1469;-118,4717;2330;10;West Valley;1099;1;35;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
7600 MCKINLEY AV;33,9712;-118,2608;1800;12;77th Street;1259;2;28;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
500 E PACIFIC COAST HY;33,798;-118,2604;1300;5;Harbor;518;1;42;M;W;PUBLIC STORAGE;None;None;IC;Invest Cont;Property Crimes
600 W 7TH ST;34,0473;-118,2566;505;1;Central;162;2;66;F;W;MTA - BLUE LINE - 7TH AND METRO CENTER;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
2800 LA CASTANA DR;34,122;-118,3592;1530;6;Hollywood;622;1;0;X;X;CONSTRUCTION SITE;None;None;IC;Invest Cont;Property Crimes
1300 E 114TH ST;33,931;-118,2516;925;18;Southeast;1846;1;29;M;B;STREET;109;SEMI-AUTOMATIC PISTOL;AA;Adult Arrest;Crimes against Persons
200 WORLD WY;33,9449;-118,4059;1800;14;Pacific;1494;1;56;M;W;TRANSPORTATION FACILITY (AIRPORT);None;None;AA;Adult Arrest;Property Crimes
13000 SHERMAN WY;34,2012;-118,416;2000;15;N Hollywood;1522;1;39;F;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
22100 HIBISCUS HILL DR;34,1803;-118,6094;1430;21;Topanga;2155;1;48;M;O;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
ADAMS BL;34,0327;-118,3024;1930;3;Southwest;326;1;75;F;H;SIDEWALK;109;SEMI-AUTOMATIC PISTOL;IC;Invest Cont;Property Crimes
12100 SAN FERNANDO RD;34,2962;-118,4554;1;19;Mission;1924;2;16;F;H;MOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
6100 VINELAND AV;34,1849;-118,3746;1540;15;N Hollywood;1527;2;32;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
3100 W 59TH PL;33,9863;-118,3264;400;12;77th Street;1232;2;61;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
PACIFIC COAST HY;33,7895;-118,3043;1340;5;Harbor;511;1;2;F;W;OTHER BUSINESS;306;ROCK/THROWN OBJECT;AA;Adult Arrest;Violent Crimes
7400 SATSUMA AV;34,2048;-118,367;2230;15;N Hollywood;1508;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
12200 LAUREL TERRACE DR;34,1398;-118,3984;1200;15;N Hollywood;1591;2;44;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
100 E 89TH ST;33,9556;-118,2739;1015;18;Southeast;1802;2;26;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
6100 CRENSHAW BL;33,9846;-118,3308;630;12;77th Street;1241;1;55;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);312;PIPE/METAL PIPE;AA;Adult Arrest;Violent Crimes
1000 W TEMPLE ST;34,0677;-118,252;1500;2;Rampart;219;2;16;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Crimes against Persons
1000 W SEPULVEDA ST;33,7457;-118,3021;710;5;Harbor;551;2;6;F;W;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;Crimes against Persons
10000 DE SOTO AV;34,2518;-118,5886;800;17;Devonshire;1752;2;47;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
ROSELAKE;34,0677;-118,2731;2200;2;Rampart;235;1;21;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
1400 ABBOT KINNEY BL;33,9906;-118,4657;1800;14;Pacific;1431;1;0;X;X;GARAGE/CARPORT;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
LA BREA;34,0962;-118,349;1730;6;Hollywood;644;1;32;F;W;SIDEWALK;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
5800 S CENTRAL AV;33,9822;-118,2565;1000;13;Newton;1385;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5800 PICKFORD ST;34,0489;-118,3756;2130;7;Wilshire;762;2;28;F;B;SINGLE FAMILY DWELLING;511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
1200 S COCHRAN AV;34,0504;-118,3518;1300;7;Wilshire;755;2;44;F;B;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
8300 SHIRLEY AV;34,2204;-118,5579;1500;17;Devonshire;1792;2;71;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
7000 WILBUR AV;34,1975;-118,5448;1800;10;West Valley;1023;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
ROSCOE;34,2217;-118,4327;1810;19;Mission;1999;1;29;F;W;STREET;307;VEHICLE;IC;Invest Cont;Violent Crimes
7100 W MANCHESTER AV;33,9599;-118,4185;900;14;Pacific;1474;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
10000 LURLINE AV;34,2536;-118,5913;130;17;Devonshire;1752;1;0;X;X;HIGH SCHOOL;None;None;IC;Invest Cont;Property Crimes
3500 S NORMANDIE AV;34,0242;-118,3002;1900;3;Southwest;357;1;19;X;X;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY);None;None;IC;Invest Cont;Property Crimes
6700 3RD AV;33,9764;-118,3207;1;12;77th Street;1252;1;63;F;B;YARD (RESIDENTIAL/BUSINESS);None;None;IC;Invest Cont;Property Crimes
600 E IMPERIAL HY;33,9345;-118,2623;1550;18;Southeast;1844;2;34;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
400 S ALEXANDRIA AV;34,0672;-118,2979;1530;20;Olympic;2025;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
COMMODORE ST;34,0768;-118,1964;2000;4;Hollenbeck;417;1;33;F;X;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
3200 S CENTRAL AV;34,0139;-118,2565;1600;13;Newton;1325;2;55;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
10000 VENICE BL;34,0226;-118,3999;2100;14;Pacific;1407;1;29;F;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
100 W 76TH ST;33,9708;-118,2739;2100;12;77th Street;1258;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
23300 HARTLAND ST;34,1946;-118,6346;1200;21;Topanga;2142;2;62;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
700 W 46TH ST;34,0017;-118,2856;1000;12;77th Street;1208;1;42;M;B;STREET;307;VEHICLE;AA;Adult Arrest;Violent Crimes
700 W 90TH ST;33,9551;-118,2869;800;18;Southeast;1801;1;50;F;B;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
6100 S SAN PEDRO ST;33,9858;-118,2739;1300;13;Newton;1383;2;23;F;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
6400 ELMER AV;34,1867;-118,3769;1000;15;N Hollywood;1527;2;59;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
10700 W PICO BL;34,0417;-118,4253;2100;8;West LA;884;1;0;X;X;BANK;None;None;IC;Invest Cont;Property Crimes
21700 SEPTO ST;34,2511;-118,6039;2050;17;Devonshire;1751;2;34;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
500 S SPRING ST;34,0467;-118,252;810;1;Central;153;2;27;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
100 THE GROVE DR;34,0747;-118,3563;1730;7;Wilshire;724;1;39;M;F;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
2900 VERMONT AV;34,118;-118,2932;2020;11;Northeast;1101;1;22;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3700 OVERLAND AV;34,021;-118,4087;1045;14;Pacific;1406;2;23;M;O;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
LINCOLN BL;33,9939;-118,4524;330;14;Pacific;1443;2;55;F;B;MTA BUS;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
5600 LEMP AV;34,1722;-118,3844;1500;15;N Hollywood;1535;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3500 E 4TH ST;34,0329;-118,1944;2020;4;Hollenbeck;469;1;24;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
11200 VENTURA BL;34,143;-118,3727;1810;15;N Hollywood;1585;1;45;M;H;DEPARTMENT STORE;None;None;AA;Adult Arrest;Property Crimes
600 W 76TH ST;33,9727;-118,285;2000;12;77th Street;1256;2;0;X;X;STREET;511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
700 N STATE ST;34,0529;-118,2133;2030;4;Hollenbeck;455;1;17;M;H;OTHER/OUTSIDE;106;UNKNOWN FIREARM;IC;Invest Cont;Violent Crimes
VENICE BL;34,0466;-118,3405;2000;7;Wilshire;765;1;29;F;B;OTHER BUSINESS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
100 UNION PL;34,0637;-118,2638;2200;2;Rampart;237;2;99;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
SAN PEDRO;33,9247;-118,2696;1730;18;Southeast;1863;1;57;F;B;MARKET;None;None;IC;Invest Cont;Property Crimes
2400 W 54TH ST;33,9932;-118,3198;1445;12;77th Street;1211;2;25;F;W;ALLEY;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
MAGNOLIA BL;34,1649;-118,4042;1200;15;N Hollywood;1544;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
6700 LEMP AV;34,1922;-118,3845;1730;15;N Hollywood;1516;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
00 S VENICE BL;33,984;-118,4705;1730;14;Pacific;1441;2;34;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
3700 WILSHIRE BL;34,0617;-118,3075;2000;20;Olympic;2033;1;0;X;X;HIGH SCHOOL;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;Property Crimes
6600 SANTA MONICA BL;34,0907;-118,3332;1;6;Hollywood;663;1;34;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
MELROSE;34,0835;-118,3266;1445;7;Wilshire;719;1;59;M;B;BUS STOP;215;MACHETE;AA;Adult Arrest;Violent Crimes
14000 FOOTHILL BL;34,3138;-118,4385;2000;19;Mission;1917;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
900 WHITE KNOLL DR;34,0671;-118,2483;2030;1;Central;101;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3800 LINCOLN HIGH CT;34,0748;-118,1994;620;4;Hollenbeck;417;2;42;F;H;SINGLE FAMILY DWELLING;None;None;AO;Adult Other;Crimes against Public Order
VAN NUYS AV;34,0998;-118,3211;2215;6;Hollywood;647;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
200 PARK PASEO;34,0488;-118,2257;2200;4;Hollenbeck;451;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
300 S CURSON AV;34,0688;-118,3552;1200;7;Wilshire;734;2;33;F;K;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
2300 VASANTA WY;34,1122;-118,3235;215;6;Hollywood;627;2;26;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
13700 DESMOND ST;34,2736;-118,4321;1830;16;Foothill;1622;1;49;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
MCCORMICK;34,1695;-118,3659;1000;15;N Hollywood;1549;2;28;M;X;STREET;None;None;AA;Adult Arrest;Fraud and White-Collar Crimes
TEMPLE ST;34,0678;-118,259;437;2;Rampart;238;1;54;F;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
600 W 50TH ST;33,9974;-118,2842;1340;12;77th Street;1208;1;34;F;B;DRIVEWAY;102;HAND GUN;AA;Adult Arrest;Violent Crimes
12300 OXNARD ST;34,1794;-118,4008;1030;15;N Hollywood;1532;1;58;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
3100 S BARRINGTON AV;34,0167;-118,4382;1800;14;Pacific;1424;1;44;F;O;ALLEY;None;None;IC;Invest Cont;Property Crimes
I ST;33,7837;-118,2233;1800;5;Harbor;529;2;48;F;W;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
6200 S VERDUN AV;33,9826;-118,346;1730;12;77th Street;1231;1;58;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
MAIN ST;34,0112;-118,274;1645;13;Newton;1342;2;24;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
20500 W VENTURA BL;34,1683;-118,5787;1600;21;Topanga;2189;1;35;M;X;MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME;None;None;IC;Invest Cont;Property Crimes
VICTORIA AV;33,9806;-118,3323;100;12;77th Street;1241;1;37;M;H;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
3100 S BENTLEY AV;34,027;-118,4263;1830;14;Pacific;1427;1;54;M;W;STREET;306;ROCK/THROWN OBJECT;AA;Adult Arrest;Violent Crimes
20100 KESWICK ST;34,2096;-118,5715;1030;21;Topanga;2128;2;20;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AO;Adult Other;Fraud and White-Collar Crimes
5400 TUJUNGA AV;34,1685;-118,379;1500;15;N Hollywood;1549;1;20;F;B;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
6200 TOPANGA CANYON BL;34,1829;-118,6059;2300;21;Topanga;2156;1;25;F;H;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
OCEAN FRONT WK;33,9858;-118,4727;1700;14;Pacific;1431;1;28;M;H;BASKETBALL COURTS;None;None;IC;Invest Cont;Property Crimes
1300 W 42ND ST;34,0073;-118,298;1900;3;Southwest;397;2;59;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
11700 COURTLEIGH DR;33,9991;-118,4174;500;14;Pacific;1456;1;39;M;A;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
6300 BRYNHURST AV;33,9806;-118,3338;2200;12;77th Street;1241;1;36;M;H;SINGLE FAMILY DWELLING;312;PIPE/METAL PIPE;AA;Adult Arrest;Violent Crimes
4200 S HOBART BL;34,0071;-118,3078;2300;3;Southwest;395;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
7300 VARIEL AV;34,2029;-118,5929;1200;21;Topanga;2137;1;22;M;X;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
800 WILSHIRE BL;34,0494;-118,2581;1500;1;Central;152;2;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
9200 SHIRLEY AV;34,2374;-118,558;1630;17;Devonshire;1764;1;0;X;X;OTHER BUSINESS;None;None;JA;Juv Arrest;Property Crimes
PEACH AV;34,1975;-118,4684;2200;9;Van Nuys;911;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
GILMORE;34,1877;-118,4509;1535;9;Van Nuys;923;2;51;M;W;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1800 N BERENDO ST;34,1036;-118,2945;2130;11;Northeast;1141;1;30;F;W;STREET;None;None;IC;Invest Cont;Property Crimes
8300 NORTHGATE AV;34,221;-118,604;1530;21;Topanga;2105;2;29;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
20400 VIA SANSOVINO;34,2969;-118,578;800;17;Devonshire;1701;2;50;F;W;OTHER RESIDENCE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
10200 CRESTA DR;34,0417;-118,4041;1100;8;West LA;885;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1500 S HOPE ST;34,0371;-118,2672;1245;1;Central;192;1;12;M;H;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
2900 HADDINGTON DR;34,037;-118,4116;1800;8;West LA;885;1;45;F;A;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
17800 TRIBUNE ST;34,2673;-118,5215;2100;17;Devonshire;1735;1;30;M;O;STREET;None;None;IC;Invest Cont;Property Crimes
EDINBURGH AV;34,0838;-118,3638;2100;7;Wilshire;701;1;44;M;O;STREET;None;None;IC;Invest Cont;Property Crimes
17600 BROMLEY ST;34,176;-118,5168;1530;10;West Valley;1047;2;14;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Crimes against Persons
4300 MCCONNELL AV;33,9825;-118,4231;1900;14;Pacific;1455;1;35;F;O;STREET;None;None;IC;Invest Cont;Property Crimes
300 E C ST;33,7729;-118,2593;2250;5;Harbor;529;1;0;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
4100 SUNNYSIDE AV;33,99;-118,4384;2300;14;Pacific;1453;1;50;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
5800 N FIGUEROA ST;34,114;-118,1949;1430;11;Northeast;1118;1;36;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
1100 S PACIFIC AV;33,7338;-118,2879;1300;5;Harbor;566;1;62;M;W;PARKING LOT;None;None;AO;Adult Other;Property Crimes
7200 CRESCENT PARK;33,9691;-118,4271;1315;14;Pacific;1464;2;35;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
7100 BELLAIRE AV;34,1973;-118,4116;1630;15;N Hollywood;1512;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
4300 S WESTERN AV;34,0052;-118,3089;1600;3;Southwest;395;1;19;X;X;LIQUOR STORE;None;None;IC;Invest Cont;Property Crimes
6500 W HOLLYWOOD BL;34,1034;-118,3325;40;6;Hollywood;636;2;0;X;X;BAR/COCKTAIL/NIGHTCLUB;None;None;IC;Invest Cont;Crimes against Public Order
6800 YOLANDA AV;34,1939;-118,5404;715;10;West Valley;1024;2;44;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
1200 S NEW HAMPSHIRE AV;34,0473;-118,2926;810;20;Olympic;2056;2;13;F;H;SIDEWALK;None;None;AA;Adult Arrest;Crimes against Persons
1100 N ALVARADO ST;34,0776;-118,2635;1215;11;Northeast;1181;1;0;X;X;MARKET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
800 S WOOSTER ST;34,0609;-118,3824;900;8;West LA;849;1;28;F;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
2200 E 7TH ST;34,0345;-118,2256;2304;4;Hollenbeck;471;1;38;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
2600 CHARITON ST;34,0349;-118,3797;600;8;West LA;899;2;71;F;X;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
200 N AVENUE 25;34,0781;-118,2181;1700;4;Hollenbeck;412;1;52;F;O;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
6200 W HOLLYWOOD BL;34,103;-118,3225;5;6;Hollywood;637;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
PAXTON ST;34,2867;-118,408;720;16;Foothill;1602;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
HOLLYWOOD;34,1016;-118,3267;550;6;Hollywood;646;2;38;F;W;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
20900 SHERMAN WY;34,201;-118,5892;1730;21;Topanga;2147;2;44;F;H;OFFICE BUILDING/OFFICE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1200 W DON ST;33,7977;-118,2773;930;5;Harbor;514;2;31;F;H;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
5200 W CENTURY BL;33,949;-118,3744;2345;14;Pacific;1489;1;0;X;X;MINI-MART;None;None;IC;Invest Cont;Property Crimes
3400 MAPLEWOOD AV;34,0062;-118,4498;1015;14;Pacific;1416;1;53;M;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
5500 VIA MARISOL;34,1045;-118,185;1000;4;Hollenbeck;404;1;0;M;W;PARK/PLAYGROUND;None;None;IC;Invest Cont;Property Crimes
3000 W 36TH ST;34,0229;-118,3289;1330;3;Southwest;334;2;21;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
1200 S BLUFF CREEK DR;33,9735;-118,4183;1240;14;Pacific;1464;2;27;F;B;PARK/PLAYGROUND;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
7700 OWENSMOUTH AV;34,2103;-118,6016;1130;21;Topanga;2125;1;47;M;W;STREET;307;VEHICLE;AA;Adult Arrest;Violent Crimes
3900 CODY RD;34,1409;-118,4639;545;9;Van Nuys;991;1;22;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
LANKERSHIM BL;34,17;-118,3777;2340;15;N Hollywood;1542;2;42;F;H;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;Violent Crimes
10000 OLD DEPOT PLAZA RD;34,25;-118,599;515;17;Devonshire;1751;2;0;X;X;TRAIN DEPOT/TERMINAL, OTHER THAN MTA;None;None;IC;Invest Cont;Property Crimes
11100 DE HAVEN AV;34,272;-118,4113;2130;16;Foothill;1623;2;60;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
4600 ENCINO AV;34,1544;-118,5134;1100;10;West Valley;1097;2;55;M;W;OFFICE BUILDING/OFFICE;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
4300 AVALON BL;34,0057;-118,2652;630;13;Newton;1353;1;0;X;X;GAS STATION;None;None;IC;Invest Cont;Property Crimes
11700 ADDISON ST;34,1612;-118,39;1810;15;N Hollywood;1545;1;0;M;O;CONSTRUCTION SITE;None;None;IC;Invest Cont;Property Crimes
600 KELTON AV;34,0642;-118,4527;500;8;West LA;816;1;19;M;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
2900 BELLEVUE AV;34,0769;-118,2758;1700;2;Rampart;215;2;41;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
400 W GAGE AV;33,9824;-118,2807;900;12;77th Street;1249;1;26;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
5300 HUNTINGTON DR;34,0897;-118,167;1000;4;Hollenbeck;429;1;43;F;B;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
13700 HOYT ST;34,258;-118,4313;730;16;Foothill;1641;2;67;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
20800 SATICOY ST;34,2083;-118,5863;830;21;Topanga;2137;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
800 W 83RD ST;33,9637;-118,2871;400;12;77th Street;1267;2;14;F;B;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
700 GATUN ST;33,7547;-118,3011;1200;5;Harbor;541;2;50;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
